Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9579491,Jeden den Ivana Děnisoviče,Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr","Alexandr Solženicyn, Sergej Machonin, Anna Nováková","=""8020008349""","=""9788020008343""",0,Academia,Hardcover,310,2000,1962,,2026/05/10,,,read,,,,0,0
6710247,Bílá nemoc,Karel Čapek,"Čapek, Karel",,"=""""","=""""",0,,Unknown Binding,,,1936,,2026/05/10,,,read,,,,0,0
4885552,Povídky z druhé kapsy,Karel Čapek,"Čapek, Karel",,"=""8025305171""","=""9788025305171""",0,Fragment,Paperback,131,2007,1929,,2026/05/10,,,read,,,,0,0
4885540,Povídky z jedné kapsy,Karel Čapek,"Čapek, Karel",,"=""8025305163""","=""9788025305164""",0,Fragment,Paperback,152,2007,1929,,2026/05/10,,,read,,,,0,0
59721964,Proces,Franz Kafka,"Kafka, Franz",Bruno Schulz,"=""""","=""""",0,Agora,Hardcover,185,2004,1925,,2026/05/10,,,read,,,,0,0
7614997,Zámek,Franz Kafka,"Kafka, Franz",Vladimír Kafka,"=""8085844303""","=""9788085844306""",0,Nakladatelství Franze Kafky,Hardcover,416,1997,1926,,2026/05/10,,,read,,,,0,0
22248146,Proměna a jiné povídky,Franz Kafka,"Kafka, Franz",,"=""808739108X""","=""9788087391082""",0,Československý spisovatel,Hardcover,229,2009,1915,,2026/05/10,,,read,,,,0,0
3055089,Kytice,Karel Jaromír Erben,"Erben, Karel Jaromír",,"=""8086138305""","=""9788086138305""",0,,,162,,1853,,2026/05/10,,,read,,,,0,0
17885032,Jak zaujmout hned napoprvé,Chip Heath,"Heath, Chip",Dan Heath,"=""802491316X""","=""9788024913162""",0,Ikar,Hardcover,280,2009,2006,,2026/05/10,,,read,,,,0,0
6527448,Zbabělci,Josef Škvorecký,"Škvorecký, Josef",,"=""8086938050""","=""""",0,Euromedia Group,Hardcover,384,2005,1958,,2026/05/10,,,read,,,,0,0
9739096,Cizinec,Albert Camus,"Camus, Albert",Miloslav Žilina,"=""8086379949""","=""9788086379944""",0,Garamond,Hardcover,124,2005,1942,,2026/05/10,,,read,,,,0,0
48807336,Rudý Zeman,Jaroslav Kmenta,"Kmenta, Jaroslav",,"=""8087569350""","=""9788087569351""",0,JKM - Jaroslav Kmenta,Hardcover,470,2019,2019,,2026/05/10,,,read,,,,0,0
42866104,Jak umírá demokracie,Steven Levitsky,"Levitsky, Steven","Daniel Ziblatt, Jaroslav Veis","=""8072603949""","=""9788072603947""",0,Prostor,Paperback,336,2018,2018,,2026/05/10,,,read,,,,0,0
22674433,Zločin a trest,Fyodor Dostoevsky,"Dostoevsky, Fyodor","F.M. Dostojevskij, Jaroslav Hulák, Jozef Baláž","=""""","=""""",0,Svět sovětů,Hardcover,518,1966,1866,,2026/05/10,,,read,,,,0,0
146081872,"The 5 Love Languages Series 5 books set (The 5 Love Languages, The 5 Love Languages for Men, The 5 Love Languages of Teenagers, 5 Love Languages Of Children, A Teen's Guide to the 5 Love Languages) By Gary Chapman Paperback",Gary Chapman,"Chapman, Gary",,"=""""","=""""",0,Generic,Paperback,1075,,,,2026/05/10,,,read,,,,0,0
37458994,Severská mytologie,Neil Gaiman,"Gaiman, Neil",Viola Somogyi,"=""8025723704""","=""9788025723708""",0,Argo,ebook,256,2017,2017,,2026/05/10,,,read,,,,0,0
39893586,100x TGM,Pavel Kosatík,"Kosatík, Pavel",,"=""""","=""""",0,,Unknown Binding,,,2017,,2026/05/10,,,read,,,,0,0
8486992,Sto roků samoty,Gabriel García Márquez,"Márquez, Gabriel García",Vladimír Medek,"=""8020712151""","=""""",0,Odeon,Hardcover,318,2006,1967,,2026/05/10,,,read,,,,0,0
18588185,Nevolnost,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""""","=""""",0,Odeon,Paperback,188,1993,1938,,2026/05/10,,,read,,,,0,0
12274824,Zeď,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""""","=""""",0,KMa,Hardcover,157,2003,1939,,2026/05/10,,,read,,,,0,0
17364941,Tajuplný ostrov,Jules Verne,"Verne, Jules",Václav Netušil,"=""""","=""""",0,Albatros,Hardcover,492,1978,1875,,2026/05/10,,,read,,,,0,0
23556496,Americký sniper,Chris Kyle,"Kyle, Chris","Scott McEwen, Jim DeFelice","=""8026401085""","=""9788026401087""",0,"Computer Press, a.s.",Paperback,400,2012,2012,,2026/05/10,,,read,,,,0,0
52499427,Rozpojené státy - Amerika nejen televizní kamerou,Martin Řezníček,"Řezníček, Martin",,"=""8025731030""","=""9788025731031""",0,Argo,Paperback,304,2020,,,2026/05/10,,,read,,,,0,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",0,Plume,Paperback,368,2022,1948,,2026/05/10,,,read,,,,0,0
7805108,Tahle země není pro starý,Cormac McCarthy,"McCarthy, Cormac",David Petrů,"=""""","=""""",0,Argo,Hardcover,202,2007,2005,,2026/05/10,,,read,,,,0,0
58955471,Nebeští jezdci,Filip Jánský,"Jánský, Filip",,"=""""","=""""",0,,Unknown Binding,,,,,2026/05/10,,,read,,,,0,0
31806819,V lese visí anděl,Samuel Bjørk,"Bjørk, Samuel",Eva Dohnálková,"=""8025904342""","=""9788025904343""",0,Plus,ebook,384,2015,2013,,2026/05/10,,,read,,,,0,0
22034,"The Godfather (The Godfather, #1)",Mario Puzo,"Puzo, Mario","Robert Thompson, Peter Bart","=""""","=""""",0,NAL,Paperback,428,2002,1969,,2026/05/10,,,read,,,,0,0
11814434,Žert,Milan Kundera,"Kundera, Milan",,"=""""","=""9788071082873""",0,,Hardcover,350,,1967,,2026/05/10,,,read,,,,0,0
5956028,Nesnesitelná lehkost bytí,Milan Kundera,"Kundera, Milan",,"=""8071082813""","=""9788071082811""",0,Atlantis,Hardcover,341,2006,1984,,2026/05/10,,,read,,,,0,0
147193,Život je jinde,Milan Kundera,"Kundera, Milan",,"=""0887810691""","=""9780887810695""",0,Sixty-Eight Publishers,Hardcover,368,1979,1973,,2026/05/10,,,read,,,,0,0
17998717,Noc v Lisabonu,Erich Maria Remarque,"Remarque, Erich Maria",,"=""8020604006""","=""9788020604002""",0,Naše vojsko,Hardcover,156,2001,1961,,2026/05/10,,,read,,,,0,0
22432755,Jiskra života,Erich Maria Remarque,"Remarque, Erich Maria",Věra Houbová,"=""8024910721""","=""9788024910727""",0,Ikar,Hardcover,368,2008,1952,,2026/05/10,,,read,,,,0,0
