author_name,cz_title,en_title,language,desc
Jussi Adler-Olsen,Selfies,Selfies,CZ,Oddelni Q 7.dil
Joakim Zander,Plavec,The Swimmer,CZ,
Stieg Larsson,"Muži, kteří nenávidí ženy",The Girl with the Dragon Tattoo,CZ,Milenium 01
Stieg Larsson,"Dívka, která si hrála s ohněm",The Girl Who Played with Fire,CZ,Milenium 02
Stieg Larsson,"Dívka, která kopla do vosího hnízda",The Girl Who Kicked the Hornets' Nest,CZ,Milenium 03
Dan Brown,Andělé a démoni,Angels & Demons,CZ,Robert Langdon 1.dil
Dan Brown,Inferno,Inferno,CZ,Robert Langdon 4.dil
Dan Brown,Inferno,Inferno,EN,Robert Langdon 4.dil
Dan Brown,Počátek,Origin,CZ,Robert Langdon 5.dil
Dan Brown,Tajemství všech tajemství,The Lost Symbol (note: verify series order),CZ,Robert Langdon 6.dil
Dan Brown,Digitální pevnost,Digital Fortress,CZ,
Paula Hawkins,Dívka ve vlaku,The Girl on the Train,CZ,
Paula Hawkins,Do vody,Into the Water,CZ,
Stephen King,Žhářka,Firestarter,CZ,
Stephen King,Zelená míle,The Green Mile,CZ,
Stephen King,Osvícení,The Shining,CZ,
Sir Arthur Conan Doyle,Příběhy Sherlocka Holmese,The Adventures of Sherlock Holmes,CZ,Povidky
Sir Arthur Conan Doyle,Poslední poklona Sherlocka Holmese,His Last Bow,CZ,Povidky
Sir Arthur Conan Doyle,Návrat Sherlocka Holmese,The Return of Sherlock Holmes,CZ,Povidky
Sir Arthur Conan Doyle,Další příběhy Sherlocka Holmese,The Memoirs of Sherlock Holmes,CZ,Povidky
Erich Maria Remarque,Jiskra života,Spark of Life,CZ,
Erich Maria Remarque,Stanice na obzoru,Three Comrades,CZ,
Erich Maria Remarque,Noc v Lisabonu,The Night in Lisbon,CZ,
Marcus Aurelius Antonius,Hovory k sobě,Meditations,CZ,
Ernest Hemingway,Fiesta,The Sun Also Rises,CZ,
Ernest Hemingway,Stařec a moře,The Old Man and the Sea,CZ,
Milan Kundera,Směšné lásky,Laughable Loves,CZ,
Milan Kundera,Život je jinde,Life Is Elsewhere,CZ,
Milan Kundera,Kniha smíchu a zapomnění,The Book of Laughter and Forgetting,CZ,
Milan Kundera,Nevědění,Ignorance,CZ,
Milan Kundera,Slavnost bezvýznamnosti,The Festival of Insignificance,CZ,
Milan Kundera,Valčík na rozloučenou,The Farewell Waltz,CZ,
Milan Kundera,Nesnesitelná lehkost bytí,The Unbearable Lightness of Being,CZ,
Milan Kundera,Žert,The Joke,CZ,
Mario Puzo,Kmotr,The Godfather,EN,
N.V. Gogol,Revizor,The Government Inspector,CZ,
Agatha Christie,Záhada na zámku Styles,The Mysterious Affair at Styles,CZ,
Agatha Christie,Karty na stole,Cards on the Table,CZ,
Agatha Christie,Hra na vraždu,Murder is Easy,CZ,
James McBride,Jahel King Kong,The Good Lord Bird (note: verify — may be different book),CZ,
Samuel Bjork,V lese visí anděl,I'm Travelling Alone,CZ,
Simon Toyne,Sanctus,Sanctus,CZ,
Bohumil Hrabal,Ostře sledované vlaky,Closely Watched Trains,CZ,
Filip Jansky,Nebeští jezdci,,CZ,
Jiri Brodecka,Limonádový Joe,Lemonade Joe,CZ,
Jan Neruda,Povídky malostranské,Tales of the Mala Strana,CZ,
Mark Bowden,Černý jestřáb sestřelen,Black Hawk Down,CZ,
Mark Bowden,Poslední akce: Zabití Usámy bin Ládina,The Finish,CZ,
Cormac McCarthy,Tahle země není pro starý,No Country for Old Men,CZ,
Erik Tabery,Opuštěná společnost,,CZ,
George Orwell,1984,Nineteen Eighty-Four,CZ,
Martin Reznicek,Rozpojené státy,,CZ,
Stephen W. Hawking,Stručná historie času,A Brief History of Time,CZ,Rozecteno
Unknown,Edda,The Prose Edda / The Poetic Edda,CZ,Mytologicke basne
Frederik Backman,Muž jménem Ove,A Man Called Ove,CZ,
Frederik Backman,Úzkostní lidé,Anxious People,CZ,
Isabel Allende,Violeta,Violeta,CZ,
Adolf Hitler,Mein Kampf,Mein Kampf,CZ,Rozecteno asi do 100 str
Jan Novak,Zatím dobrý,So Far So Good,CZ,
Levy Rozman,Jak vyhrávat v šachu,How to Win at Chess,CZ,
Chris Kyle,Americký sniper,American Sniper,CZ,
Homer,Ílias,The Iliad,CZ,
Victor Hugo,Chrám Matky Boží v Paříži,The Hunchback of Notre-Dame,CZ,
Vladislav Vancura,Markéta Lazarová,Marketa Lazarova,CZ,
Vladislav Vancura,Rozmarné léto,Capricious Summer,CZ,
Aron Ralston,127 hodin,Between a Rock and a Hard Place,CZ,
A.P. Cechov,Drama na lovu,The Shooting Party,CZ,
Paul Brickhill,Noc nekryje uprchlíky,The Great Escape,CZ,
Moliere,Lakomec,The Miser,CZ,
John Man,Attila,Attila: The Barbarian King Who Challenged Rome,CZ,
Jules Verne,Ocelové město,The Begum's Millions,CZ,
